CurrentA,VoltageV,time
0,13.7834,0
0,13.7462,1
0,13.7258,2
0,13.709,3
0,13.696,4
0,13.6848,5
0,13.6737,6
0,13.6662,7
0,13.6588,8
0,13.6514,9
0,13.6458,10
0,13.6383,11
0,13.6328,12
0,13.6272,13
0,13.6216,14
0,13.6179,15
0,13.6123,16
0,13.6086,17
0,13.6049,18
0,13.6011,19
0,13.5974,20
0,13.5956,21
0,13.5918,22
0,13.5881,23
0,13.5844,24
0,13.5807,25
0,13.5788,26
0,13.577,27
0,13.5732,28
0,13.5714,29
0,13.5695,30
0,13.5677,31
0,13.5658,32
0,13.5639,33
0,13.5602,34
0,13.5602,35
0,13.5584,36
0,13.5565,37
0,13.5546,38
0,13.5528,39
0,13.5509,40
0,13.5509,41
0,13.5491,42
0,13.5472,43
0,13.5453,44
0,13.5453,45
0,13.5435,46
0,13.5398,47
0,13.5398,48
0,13.5379,49
0,13.5379,50
0,13.536,51
0,13.536,52
0,13.5342,53
0,13.5342,54
0,13.5323,55
0,13.5305,56
0,13.5305,57
0,13.5305,58
0,13.5286,59
0,13.5286,60
0,13.5267,61
0,13.5267,62
0,13.5267,63
0,13.5249,64
0,13.5249,65
0,13.5249,66
0,13.523,67
0,13.523,68
0,13.5212,69
0,13.5212,70
0,13.5212,71
0,13.5212,72
0,13.5193,73
0,13.5193,74
0,13.5193,75
0,13.5174,76
0,13.5174,77
0,13.5174,78
0,13.5174,79
0,13.5156,80
0,13.5156,81
0,13.5156,82
0,13.5156,83
0,13.5137,84
0,13.5137,85
0,13.5137,86
0,13.5137,87
0,13.5119,88
0,13.5119,89
0,13.5119,90
0,13.5119,91
0,13.5119,92
0,13.5119,93
0,13.51,94
0,13.51,95
0,13.51,96
0,13.51,97
0,13.51,98
0,13.5081,99
0,13.5081,100
0,13.5081,101
0,13.5081,102
0,13.5081,103
0,13.5081,104
0,13.5081,105
0,13.5063,106
0,13.5063,107
0,13.5063,108
0,13.5063,109
0,13.5063,110
0,13.5063,111
0,13.5063,112
0,13.5044,113
0,13.5044,114
0,13.5044,115
0,13.5044,116
0,13.5044,117
0,13.5044,118
0,13.5044,119
0,13.5026,120
0,13.5026,121
0,13.5026,122
0,13.5026,123
0,13.5026,124
0,13.5026,125
0,13.5026,126
0,13.5026,127
0,13.5007,128
0,13.5007,129
0,13.5007,130
0,13.5007,131
0,13.5007,132
0,13.5007,133
0,13.5007,134
0,13.5007,135
0,13.5007,136
0,13.5007,137
0,13.4988,138
0,13.4988,139
0,13.4988,140
0,13.4988,141
0,13.4988,142
0,13.4988,143
0,13.4988,144
0,13.4988,145
0,13.4988,146
0,13.4988,147
0,13.4988,148
0,13.4951,149
0,13.4951,150
0,13.4951,151
0,13.4951,152
0,13.4951,153
0,13.8597,154
0,13.8597,155
0,13.8597,156
0,13.8597,157
0,13.8597,158
0,13.8597,159
0,13.8597,160
0,13.8597,161
0,13.8578,162
0,13.8578,163
0,13.8578,164
0,13.8578,165
0,13.8578,166
0,13.8578,167
0,13.8578,168
0,13.8578,169
0,13.8578,170
0,13.8578,171
0,13.8578,172
0,13.8578,173
0,13.8578,174
0,13.8578,175
0,13.856,176
0,13.856,177
0,13.856,178
0,13.856,179
0,13.856,180
0,13.856,181
0,13.856,182
0,13.856,183
0,13.856,184
0,13.856,185
0,13.856,186
0,13.856,187
0,13.856,188
0,13.856,189
0,13.856,190
0,13.856,191
0,13.856,192
0,13.8523,193
0,13.8523,194
0,13.8523,195
0,13.8523,196
0,13.8523,197
0,13.8523,198
0,13.8523,199
0,13.8523,200
0,13.8523,201
0,13.8523,202
0,13.8523,203
0,13.8523,204
0,13.8523,205
0,13.8523,206
0,13.8523,207
0,13.8523,208
0,13.8523,209
0,13.8504,210
0,13.8504,211
0,13.8504,212
0,13.8504,213
0,13.8504,214
0,13.8504,215
0,13.8504,216
0,13.8504,217
0,13.8504,218
0,13.8504,219
0,13.8504,220
0,13.8504,221
0,13.8504,222
0,13.8504,223
0,13.8504,224
0,13.8504,225
0,13.8504,226
0,13.8504,227
0,13.8504,228
0,13.8504,229
0,13.8504,230
0,13.8504,231
0,13.8504,232
0,13.8485,233
0,13.8485,234
0,13.8485,235
0,13.8485,236
0,13.8485,237
0,13.8485,238
0,13.8485,239
0,13.8485,240
0,13.8485,241
0,13.8485,242
0,13.8485,243
0,13.8485,244
0,13.8485,245
0,13.8485,246
0,13.8485,247
0,13.8485,248
0,13.8485,249
0,13.8485,250
0,13.8485,251
0,13.8485,252
0,13.8485,253
0,13.8485,254
0,13.8485,255
0,13.8485,256
0,13.8485,257
0,13.8485,258
0,13.8467,259
0,13.8467,260
0,13.8467,261
0,13.8467,262
0,13.8467,263
0,13.8467,264
0,13.8467,265
0,13.8467,266
0,13.8467,267
0,13.8467,268
0,13.8467,269
0,13.8467,270
0,13.8467,271
0,13.8467,272
0,13.8467,273
0,13.8467,274
0,13.8467,275
0,13.8467,276
0,13.8467,277
0,13.8448,278
0,13.8448,279
0,13.8448,280
0,13.8448,281
0,13.8448,282
0,13.8448,283
0,13.8448,284
0,13.8448,285
0,13.8448,286
0,13.8448,287
0,13.8448,288
0,13.8448,289
0,13.8448,290
0,13.8448,291
0,13.8448,292
0,13.8448,293
0,13.8448,294
0,13.8448,295
0,13.8448,296
0,13.8448,297
0,13.8448,298
0,13.8448,299
0,13.8448,300
0,13.8448,301
0,13.8448,302
0,13.8448,303
0,13.8448,304
0,13.8448,305
0,13.8448,306
0,13.8448,307
0,13.8448,308
0,13.8448,309
0,13.8448,310
0,13.8448,311
0,13.8448,312
0,13.8448,313
0,13.8448,314
0,13.8448,315
0,13.8448,316
0,13.8448,317
0,13.8448,318
0,13.8448,319
0,13.8448,320
0,13.843,321
0,13.843,322
0,13.843,323
0,13.843,324
0,13.843,325
0,13.843,326
0,13.843,327
0,13.843,328
0,13.843,329
0,13.843,330
0,13.843,331
0,13.843,332
0,13.843,333
0,13.843,334
0,13.843,335
0,13.843,336
0,13.843,337
0,13.843,338
0,13.843,339
0,13.843,340
0,13.843,341
0,13.843,342
0,13.843,343
0,13.843,344
0,13.843,345
0,13.843,346
0,13.843,347
0,13.843,348
0,13.843,349
0,13.843,350
0,13.843,351
0,13.843,352
0,13.843,353
0,13.843,354
0,13.843,355
0,13.843,356
0,13.843,357
0,13.843,358
0,13.843,359
0,13.8411,360
0,13.8411,361
0,13.8411,362
0,13.8411,363
0,13.8411,364
0,13.8411,365
0,13.8411,366
0,13.8411,367
0,13.8411,368
0,13.8411,369
0,13.8411,370
0,13.8411,371
0,13.8411,372
0,13.8411,373
0,13.8411,374
0,13.8411,375
0,13.8411,376
0,13.8411,377
0,13.8411,378
0,13.8411,379
0,13.8411,380
0,13.8411,381
0,13.8411,382
0,13.8411,383
0,13.8411,384
0,13.8411,385
0,13.8411,386
0,13.8411,387
0,13.8411,388
0,13.8411,389
0,13.8411,390
0,13.8411,391
0,13.8411,392
0,13.8411,393
0,13.8411,394
0,13.8411,395
0,13.8411,396
0,13.8411,397
0,13.8411,398
0,13.8392,399
0,13.8392,400
0,13.8392,401
0,13.8392,402
0,13.8392,403
0,13.8392,404
0,13.8392,405
0,13.8392,406
0,13.8392,407
0,13.8392,408
0,13.8392,409
0,13.8392,410
0,13.8392,411
0,13.8392,412
0,13.8392,413
0,13.8392,414
0,13.8392,415
0,13.8392,416
0,13.8392,417
0,13.8392,418
0,13.8392,419
0,13.8392,420
0,13.8392,421
0,13.8392,422
0,13.8392,423
0,13.8392,424
0,13.8392,425
0,13.8392,426
0,13.8392,427
0,13.8392,428
0,13.8392,429
0,13.8392,430
0,13.8392,431
0,13.8392,432
0,13.8392,433
0,13.8392,434
0,13.8392,435
0,13.8392,436
0,13.8392,437
0,13.8392,438
0,13.8392,439
0,13.8392,440
0,13.8392,441
0,13.8392,442
0,13.8392,443
0,13.8392,444
0,13.8392,445
0,13.8374,446
0,13.8374,447
0,13.8374,448
0,13.8374,449
0,13.8374,450
0,13.8374,451
0,13.8374,452
0,13.8374,453
0,13.8374,454
0,13.8374,455
0,13.8374,456
0,13.8374,457
0,13.8374,458
0,13.8374,459
0,13.8374,460
0,13.8374,461
0,13.8374,462
0,13.8374,463
0,13.8374,464
0,13.8374,465
0,13.8374,466
0,13.8374,467
0,13.8374,468
0,13.8374,469
0,13.8374,470
0,13.8374,471
0,13.8374,472
0,13.8374,473
0,13.8374,474
0,13.8374,475
0,13.8374,476
0,13.8374,477
0,13.8374,478
0,13.8374,479
0,13.8374,480
0,13.8374,481
0,13.8374,482
0,13.8374,483
0,13.8374,484
0,13.8374,485
0,13.8374,486
0,13.8374,487
0,13.8374,488
0,13.8374,489
0,13.8374,490
0,13.8374,491
0,13.8374,492
0,13.8374,493
0,13.8374,494
0,13.8374,495
0,13.8374,496
0,13.8374,497
0,13.8374,498
0,13.8374,499
0,13.8374,500
0,13.8374,501
0,13.8374,502
0,13.8374,503
0,13.8374,504
0,13.8355,505
0,13.8355,506
0,13.8355,507
0,13.8355,508
0,13.8355,509
0,13.8355,510
0,13.8355,511
0,13.8355,512
0,13.8355,513
0,13.8355,514
0,13.8355,515
0,13.8355,516
0,13.8355,517
0,13.8355,518
0,13.8355,519
0,13.8355,520
0,13.8355,521
0,13.8355,522
0,13.8355,523
0,13.8355,524
0,13.8355,525
0,13.8355,526
0,13.8355,527
0,13.8355,528
0,13.8355,529
0,13.8355,530
0,13.8355,531
0,13.8355,532
0,13.8355,533
0,13.8355,534
0,13.8355,535
0,13.8355,536
0,13.8355,537
0,13.8355,538
0,13.8355,539
0,13.8355,540
0,13.8355,541
0,13.8355,542
0,13.8355,543
0,13.8355,544
0,13.8355,545
0,13.8355,546
0,13.8355,547
0,13.8355,548
0,13.8355,549
0,13.8355,550
0,13.8355,551
0,13.8355,552
0,13.8355,553
0,13.8355,554
0,13.8355,555
0,13.8355,556
0,13.8355,557
0,13.8355,558
0,13.8355,559
0,13.8355,560
0,13.8355,561
0,13.8355,562
0,13.8355,563
0,13.8355,564
0,13.8355,565
0,13.8337,566
0,13.8337,567
0,13.8337,568
0,13.8337,569
0,13.8337,570
0,13.8337,571
0,13.8337,572
0,13.8337,573
0,13.8337,574
0,13.8337,575
0,13.8337,576
0,13.8337,577
0,13.8337,578
0,13.8337,579
0,13.8337,580
0,13.8337,581
0,13.8337,582
0,13.8337,583
0,13.8337,584
0,13.8337,585
0,13.8337,586
0,13.8337,587
0,13.8337,588
0,13.8337,589
0,13.8337,590
0,13.8337,591
0,13.8337,592
0,13.8337,593
0,13.8337,594
0,13.8337,595
0,13.8337,596
0,13.8337,597
0,13.8337,598
0,13.8337,599
0,13.8337,600
0,13.8337,601
0,13.8337,602
0,13.8337,603
0,13.8337,604
0,13.8337,605
0,13.8337,606
0,13.8337,607
0,13.8337,608
0,13.8337,609
0,13.8337,610
0,13.8337,611
0,13.8337,612
0,13.8337,613
0,13.8337,614
0,13.8337,615
0,13.8337,616
0,13.8337,617
0,13.8337,618
0,13.8337,619
0,13.8337,620
0,13.8337,621
0,13.8337,622
0,13.8337,623
0,13.8337,624
0,13.8337,625
0,13.8337,626
0,13.8337,627
0,13.8337,628
0,13.8337,629
0,13.8337,630
0,13.8318,631
0,13.8318,632
0,13.8318,633
0,13.8318,634
0,13.8318,635
0,13.8318,636
0,13.8318,637
0,13.8318,638
0,13.8318,639
0,13.8318,640
0,13.8318,641
0,13.8318,642
0,13.8318,643
0,13.8318,644
0,13.8318,645
0,13.8318,646
0,13.8318,647
0,13.8318,648
0,13.8318,649
0,13.8318,650
0,13.8318,651
0,13.8318,652
0,13.8318,653
0,13.8318,654
0,13.8318,655
0,13.8318,656
0,13.8318,657
0,13.8318,658
0,13.8318,659
0,13.8318,660
0,13.8318,661
0,13.8318,662
0,13.8318,663
0,13.8318,664
0,13.8318,665
0,13.8318,666
0,13.8318,667
0,13.8318,668
0,13.8318,669
0,13.8318,670
0,13.8318,671
0,13.8318,672
0,13.8318,673
0,13.8318,674
0,13.8318,675
0,13.8318,676
0,13.8318,677
0,13.8318,678
0,13.8318,679
0,13.8318,680
0,13.8318,681
0,13.8318,682
0,13.8318,683
0,13.8318,684
0,13.8318,685
0,13.8318,686
0,13.8318,687
0,13.8318,688
0,13.8318,689
0,13.8318,690
0,13.8318,691
0,13.8318,692
0,13.8318,693
0,13.8318,694
0,13.8318,695
0,13.8318,696
0,13.8318,697
0,13.8318,698
0,13.8318,699
0,13.8318,700
0,13.8318,701
0,13.8318,702
0,13.8318,703
0,13.8318,704
0,13.8318,705
0,13.8318,706
0,13.8318,707
0,13.8318,708
0,13.8318,709
0,13.8318,710
0,13.8299,711
0,13.8299,712
0,13.8299,713
0,13.8299,714
0,13.8299,715
0,13.8299,716
0,13.8299,717
0,13.8299,718
0,13.8299,719
0,13.8299,720
0,13.8299,721
-16.757099609375,13.6532,722
-16.762099609375,13.6179,723
-16.762099609375,13.5993,724
-16.762099609375,13.5844,725
-16.762099609375,13.5714,726
-16.76330078125,13.5621,727
-16.76330078125,13.5528,728
-16.76330078125,13.5453,729
-16.76330078125,13.536,730
-16.76330078125,13.5286,731
-16.76330078125,13.523,732
-16.76330078125,13.5156,733
-16.76330078125,13.51,734
-16.76330078125,13.5044,735
-16.76330078125,13.5007,736
